           1
   1       2212    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.400937174E+03  0.400938272E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   2 1000290640    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.595802749E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   3       2212    1    0    0    0    0 -0.739969693E-01  0.100033437E+00  0.364941622E+03  0.364942850E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   4 1000290640    1    0    0    0    0  0.403125556E-04 -0.653804492E-03  0.377395339E-03  0.595802749E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   5         90    2    0    0    6    7  0.739566567E-01 -0.993796328E-01  0.359951745E+02  0.359954224E+02  0.500000000E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   6         22    1    3    0    0    0 -0.441886650E-02 -0.738583039E-02  0.574977783E+01  0.574978427E+01  0.106781300E-06  0.198161895E+03 -0.266281052E+03  0.964466528E+05  0.964473170E+05
   7         22    1    3    0    0    0  0.783755232E-01 -0.919938024E-01  0.302453967E+02  0.302456381E+02  0.484213406E-06  0.198161895E+03 -0.266281052E+03  0.964466528E+05  0.964473170E+05
 
           2
   1       2212    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.400937174E+03  0.400938272E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   2 1000290640    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.595802749E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   3       2212    1    0    0    0    0 -0.379877145E+00  0.338169343E+00  0.333601368E+03  0.333603075E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   4 1000290640    1    0    0    0    0 -0.276418966E-01 -0.497171936E-02  0.269211951E-02  0.595802816E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   5         90    2    0    0    6    7  0.407519042E+00 -0.333197623E+00  0.673331141E+02  0.673351903E+02  0.500000000E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   6         22    1    3    0    0    0  0.154822262E+00 -0.158368024E+00  0.284247797E+02  0.284256425E+02  0.259576827E-06  0.508989900E+03 -0.416162701E+03  0.840988310E+05  0.841014241E+05
   7         22    1    3    0    0    0  0.252696780E+00 -0.174829600E+00  0.389083344E+02  0.389095478E+02  0.232882792E-06  0.508989900E+03 -0.416162701E+03  0.840988310E+05  0.841014241E+05
 
           3
   1       2212    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.400937174E+03  0.400938272E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   2 1000290640    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.595802749E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   3       2212    1    0    0    0    0 -0.698917803E+00 -0.640324712E-01  0.304679594E+03  0.304681847E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   4 1000290640    1    0    0    0    0 -0.303765978E-02  0.325191286E-02  0.374723163E-02  0.595802752E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   5         90    2    0    0    6    7  0.701955463E+00  0.607805584E-01  0.962538333E+02  0.962564251E+02  0.500000000E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   6         22    1    3    0    0    0  0.440317380E+00  0.139334945E-01  0.597086984E+02  0.597103235E+02  0.821610221E-06  0.799496078E+03  0.692263549E+02  0.109628839E+06  0.109631791E+06
   7         22    1    3    0    0    0  0.261638083E+00  0.468470639E-01  0.365451349E+02  0.365461015E+02  0.576120691E-06  0.799496078E+03  0.692263549E+02  0.109628839E+06  0.109631791E+06
 
           4
   1       2212    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.400937174E+03  0.400938272E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   2 1000290640    2    0    0    0    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.595802749E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   3       2212    1    0    0    0    0 -0.423224746E+00  0.688500640E+00  0.331239582E+03  0.331241897E+03  0.938272046E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   4 1000290640    1    0    0    0    0  0.568308812E-02  0.491082087E-02  0.593589090E-02  0.595802757E+02  0.595802749E+02  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
   5         90    2    0    0    6    7  0.417541658E+00 -0.693411461E+00  0.696916558E+02  0.696963740E+02  0.500000000E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
